Name,Date,Time,Description,Created by,Link
Tempest Keep,24-10-2021,20:00,"Tempest Keep - Phase 2 bcc-classic - SR>MS>OS+1 Attunement for The Eye is required https://tbc.wowhead.com/quest=10680/the-hand-of-guldan begins the quest chain. Only signup if you are attuned to The Eye.",Rewddog,https://discordapp.com/channels/697095931975434331/882269995088875520/899371303675514932

Role,Spec,Name,ID,Timestamp,Status
Paladin,Retribution,Omelette,387416378606485505,2021-10-18T06:42:26,active
Shaman,Elemental,Rewddog,127880025625198593,2021-10-18T08:09:43,active
Mage,Arcane,Fusebeyond,200714309565808641,2021-10-18T11:43:19,active
Warlock,Destruction,Shadowroth,230073205849587722,2021-10-18T01:34:08,active
Tank,Protection1,Babydin,296771181783023617,2021-10-17T23:51:51,active
Tank,Protection,Cupìd,144730791635714048,2021-10-17T21:17:35,active
Warlock,Destruction,Dreadfoodle,409775908275093506,2021-10-18T10:24:31,active
Priest,Discipline,Aramen,351641385247571978,2021-10-18T11:53:59,active
Hunter,Beastmastery,Smeerkanis,646017855044976650,2021-10-18T15:57:12,active
Mage,Fire,Gnomalix,302207546914242560,2021-10-18T08:01:23,active
Rogue,Combat,Fervour,261842180094558209,2021-10-18T10:56:17,active
Priest,Shadow,Hollow/Manly/Wukkie,701071109163974666,2021-10-18T15:50:06,active
Priest,Shadow,Shadowlady,388048948599717914,2021-10-17T23:48:05,active
Priest,Holy,Hermesto,278579837038493696,2021-10-18T00:28:51,active
Tank,Protection,Tsourapo,237969307995209729,2021-10-18T00:04:06,active
Rogue,Combat,Celindir,397832972947947520,2021-10-18T21:29:50,active
Tank,Protection1,Wrake,134036388004888576,2021-10-18T12:19:26,active
Mage,Fire,Madina,710392753208557689,2021-10-17T23:57:09,active
Mage,Arcane,wargeft,706472778676830229,2021-10-18T10:42:52,active
Hunter,Beastmastery,Gilgarion,710384704062357514,2021-10-17T23:57:01,active
Tank,Protection1,Bovv,340916866899902466,2021-10-18T12:38:49,active
Absence,Absence,Spiicky,586675486764040195,2021-10-18T21:26:24,active
Druid,Restoration,Amys,463088027426750474,2021-10-18T23:45:02,active
Druid,Restoration,Lilymusprime,436911735299899394,2021-10-17T22:23:19,active
